0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
218,段,段,Duân,Duàn,Dyun6,Dan,Tan,ㄉㄨㄢˋ,단,タン
219,富,富,Pyû,Fù,Fu3,Bu,Hu,ㄈㄨˋ,부,フ
220,巫,巫,Myo,Wū,Mou4,Mu,Bu,ㄨ,무,ブ
221,烏,乌,Qo,Wū,Wu1,O,O,ㄨ,오,オ
222,焦,焦,Cieu,Jiāo,Ziu1,Cho,Syô,ㄐㄧㄠ,초,ショウ
223,巴,巴,Pra,Bā,Baa1,Pa,Ha,ㄅㄚ,파,ハ
224,弓,弓,Kyuŋ,Gōng,Gung1,Gung,Kyû,ㄍㄨㄥ,궁,キュウ
225,牧,牧,Myuk,Mù,Muk6,Mok,Boku,ㄇㄨˋ,목,ボク
226,隗,隗,Ŋúi,Wěi,Ngai5,Oe,Gai,ㄨㄟˇ,외,ガイ
227,山,山,Sren,Shān,Saan1,San,San,ㄕㄢ,산,サン
228,谷,谷,Kuk,Gǔ,Guk1,Gok,Koku,ㄍㄨˇ,곡,コク
229,車,车,Thia,Chē,Ce1,Cha,Sya,ㄔㄜ,차,シャ
230,侯,侯,Xu,Hóu,Hau4,Hu,Kô,ㄏㄡˊ,후,コウ
231,宓,宓,Byuk,Mì,Mat6,Bok,Huku,ㄇㄧˋ,복,フク
232,蓬,蓬,Buŋ,Péng,Fung4,Bong,Hô,ㄆㄥˊ,봉,ホウ
233,全,全,Dzyen,Quán,Cyun4,Jeon,Sen,ㄑㄩㄢˊ,전,セン
234,郗,郗,Thri,Xī,Ci1,Chi,Ti,ㄒㄧ,치,チ
235,班,班,Pran,Bān,Baan1,Ban,Han,ㄅㄢ,반,ハン
236,仰,仰,Ŋiáŋ,Yǎng,Joeng5,Ang,Gyô,ㄧㄤˇ,앙,ギョウ
237,秋,秋,Chyu,Qiū,Cau1,Chu,Syû,ㄑㄧㄡ,추,シュウ
238,仲,仲,Dryûŋ,Zhòng,Zung6,Jung,Tyû,ㄓㄨㄥˋ,중,チュウ
239,伊,伊,Qi,Yī,Ji1,I,I,ㄧ,이,イ
240,宮,宫,Kyuŋ,Gōng,Gung1,Gung,Kyû,ㄍㄨㄥ,궁,キュウ
241,甯,宁,Nêŋ,Nìng,Ning6,Nyeong,Zei,ㄋㄧㄥˋ,녕,ゼイ
242,仇,仇,Gyu,Qiú,Kau4,Gu,Kyû,ㄑㄧㄡˊ,구,キュウ
243,欒,栾,Luan,Luán,Lyun4,Ran,Ran,ㄌㄨㄢˊ,란,ラン
244,暴,暴,Bâu,Bào,Bou6,Po,Hô,ㄅㄠˋ,포,ホウ
245,甘,甘,Kam,Gān,Gam1,Gam,Kan,ㄍㄢ,감,カン
246,鈄,钭,Thú,Tǒu,Dau2,Du,Tô,ㄊㄡˇ,두,トウ
247,厲,厉,Liêi,Lì,Lai6,Ryeo,Rei,ㄌㄧˋ,려,レイ
248,戎,戎,Nyuŋ,Róng,Jung4,Yung,Zyû,ㄖㄨㄥˊ,융,ジュウ
249,祖,祖,Có,Zǔ,Zou2,Jo,So,ㄗㄨˇ,조,ソ
250,武,武,Myó,Wǔ,Mou5,Mu,Bu,ㄨˇ,무,ブ
251,符,符,Byo,Fú,Fu4,Bu,Hu,ㄈㄨˊ,부,フ
252,劉,刘,Lyu,Liú,Lau4,Ryu,Ryû,ㄌㄧㄡˊ,류,リュウ
253,景,景,Kriéŋ,Jǐng,Ging2,Gyeong,Kei,ㄐㄧㄥˇ,경,ケイ
254,詹,詹,Tiem,Zhān,Zim1,Cheom,Sen,ㄓㄢ,첨,セン
255,束,束,Shyok,Shù,Cuk1,Sok,Syoku,ㄕㄨˋ,속,ショク
